id.orig_h,id.orig_p,id.resp_h,id.resp_p,orig_pkts,resp_pkts,proto_encoded,conn_state_encoded,history_encoded,Target_encoded
192.168.1.198,123,77.78.107.252,123,2,0,1,2,3,0
192.168.1.198,57666,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,42107,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,48522,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,35310,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,89.221.212.46,123,1,0,1,2,3,0
192.168.1.198,123,37.157.194.44,123,1,0,1,2,3,0
192.168.1.198,54103,192.168.1.1,53,1,0,1,2,3,0
192.168.1.198,123,89.221.214.130,123,1,0,1,2,3,0
192.168.1.198,55482,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,38566,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,5.1.56.123,123,1,0,1,2,3,0
192.168.1.198,53824,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,147.231.100.5,123,1,0,1,2,3,0
192.168.1.198,123,195.113.144.201,123,1,0,1,2,3,0
192.168.1.198,123,5.1.56.123,123,1,0,1,2,3,0
192.168.1.198,123,94.124.107.190,123,1,0,1,2,3,0
192.168.1.198,59624,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,57381,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,46.28.109.26,123,1,0,1,2,3,0
192.168.1.198,123,81.200.57.13,123,1,0,1,2,3,0
192.168.1.198,123,81.2.254.32,123,1,0,1,2,3,0
192.168.1.198,49229,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,89.221.210.188,123,1,0,1,2,3,0
192.168.1.198,123,194.182.80.233,123,1,0,1,2,3,0
192.168.1.198,37090,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,38270,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,81.2.254.224,123,2,0,1,2,3,0
192.168.1.198,42895,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,53092,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,5.1.56.123,123,1,0,1,2,3,0
192.168.1.198,60823,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,82.113.53.40,123,1,0,1,2,3,0
192.168.1.198,45551,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,147.251.48.140,123,1,0,1,2,3,0
192.168.1.198,123,147.251.48.140,123,1,0,1,2,3,0
192.168.1.198,54938,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,50588,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,147.251.48.140,123,1,0,1,2,3,0
192.168.1.198,123,78.108.102.237,123,1,0,1,2,3,0
192.168.1.198,123,78.108.102.237,123,1,0,1,2,3,0
192.168.1.198,33059,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,37596,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,212.96.160.147,123,1,0,1,2,3,0
192.168.1.198,46349,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,5.1.56.123,123,1,0,1,2,3,0
192.168.1.198,59465,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,37517,192.168.1.1,53,1,0,1,2,3,0
192.168.1.198,123,82.113.53.40,123,1,0,1,2,3,0
192.168.1.198,123,147.251.48.140,123,1,0,1,2,3,0
192.168.1.198,123,81.2.248.189,123,1,0,1,2,3,0
192.168.1.198,123,37.157.194.44,123,1,0,1,2,3,0
192.168.1.198,123,147.231.100.5,123,1,0,1,2,3,0
192.168.1.198,60044,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,5.1.56.123,123,1,0,1,2,3,0
192.168.1.198,33171,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,40695,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,193.150.14.191,123,1,0,1,2,3,0
192.168.1.198,37315,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,163.172.28.46,123,1,0,1,2,3,0
192.168.1.198,123,83.167.252.118,123,1,0,1,2,3,0
192.168.1.198,41695,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,46.28.109.26,123,1,0,1,2,3,0
192.168.1.198,123,94.16.116.137,123,1,0,1,2,3,0
192.168.1.198,123,193.150.14.191,123,1,0,1,2,3,0
192.168.1.198,50034,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,89.221.214.130,123,1,0,1,2,3,0
192.168.1.198,123,83.167.252.118,123,1,0,1,2,3,0
192.168.1.198,123,83.167.252.118,123,1,0,1,2,3,0
192.168.1.198,123,193.150.14.191,123,1,0,1,2,3,0
192.168.1.198,123,81.2.248.189,123,1,0,1,2,3,0
192.168.1.198,58389,192.168.1.1,53,1,0,1,2,3,0
192.168.1.198,50116,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,83.167.252.118,123,1,0,1,2,3,0
192.168.1.198,123,89.221.212.46,123,1,0,1,2,3,0
192.168.1.198,123,193.150.14.191,123,1,0,1,2,3,0
192.168.1.198,123,89.221.210.188,123,1,0,1,2,3,0
192.168.1.198,123,147.231.100.5,123,1,0,1,2,3,0
192.168.1.198,123,78.108.102.237,123,1,0,1,2,3,0
192.168.1.198,56078,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,89.221.214.130,123,1,0,1,2,3,0
192.168.1.198,123,83.167.252.118,123,1,0,1,2,3,0
192.168.1.198,54400,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,147.251.48.140,123,1,0,1,2,3,0
192.168.1.198,123,46.28.109.26,123,1,0,1,2,3,0
192.168.1.198,123,109.224.76.139,123,1,0,1,2,3,0
192.168.1.198,55310,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,48379,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,185.189.115.149,123,1,0,1,2,3,0
192.168.1.198,60809,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,46029,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,83.167.252.118,123,1,0,1,2,3,0
192.168.1.198,51365,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,49375,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,32891,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,193.150.14.191,123,1,0,1,2,3,0
192.168.1.198,123,147.231.100.5,123,1,0,1,2,3,0
192.168.1.198,123,147.231.100.5,123,1,0,1,2,3,0
192.168.1.198,37059,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,81.2.248.189,123,1,0,1,2,3,0
192.168.1.198,123,147.231.100.5,123,1,0,1,2,3,0
192.168.1.198,123,82.113.53.40,123,1,0,1,2,3,0
192.168.1.198,123,46.28.109.26,123,1,0,1,2,3,0
192.168.1.198,123,31.31.74.35,123,1,0,1,2,3,0
192.168.1.198,123,83.167.252.118,123,1,0,1,2,3,0
192.168.1.198,123,194.182.80.233,123,1,0,1,2,3,0
192.168.1.198,123,89.221.214.130,123,1,0,1,2,3,0
192.168.1.198,123,89.221.214.130,123,1,0,1,2,3,0
192.168.1.198,123,147.251.48.140,123,1,0,1,2,3,0
192.168.1.198,33891,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,185.189.115.149,123,1,0,1,2,3,0
192.168.1.198,123,185.189.115.149,123,1,0,1,2,3,0
192.168.1.198,36958,192.168.1.1,53,1,0,1,2,3,0
192.168.1.198,123,89.221.214.130,123,1,0,1,2,3,0
192.168.1.198,123,77.78.107.252,123,1,0,1,2,3,0
192.168.1.198,123,89.221.210.188,123,1,0,1,2,3,0
192.168.1.198,123,83.167.252.118,123,1,0,1,2,3,0
192.168.1.198,47310,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,50635,192.168.1.1,53,2,0,1,2,3,0
192.168.1.198,123,5.1.56.123,123,1,0,1,2,3,0
192.168.1.198,123,81.2.248.189,123,1,0,1,2,3,0
192.168.1.198,123,194.182.80.233,123,1,0,1,2,3,0
192.168.1.198,123,89.221.212.46,123,1,0,1,2,3,0
192.168.1.198,123,81.2.254.32,123,1,0,1,2,3,0
